"batsman","pacespin","format","batting_team","year","matches","runs","balls","wickets","fours","sixes","sr","bpw","nbsr"
"A Ahmadhel","ALL","ALL","ALL",9999,3,6,18,3,1,0,33.3,6,11.8
"A Ashish Reddy","ALL","ALL","ALL",9999,3,47,29,2,2,4,162.1,14.5,65.2
"A Ashokan","ALL","ALL","ALL",9999,8,204,184,6,12,6,110.9,30.7,72.3
"A Ayre","ALL","ALL","ALL",9999,1,0,1,1,0,0,0,1,0
"A Balbirnie","ALL","ALL","ALL",9999,57,1337,1038,53,146,24,128.8,19.6,70.2
"A Bhagwat","ALL","ALL","ALL",9999,3,2,9,3,0,0,22.2,3,22.2
"A Bishnoi","ALL","ALL","ALL",9999,4,4,8,3,0,0,50,2.7,50
"A Bohara","ALL","ALL","ALL",9999,5,17,19,4,1,1,89.5,4.8,41.2
"A Bramble","ALL","ALL","ALL",9999,11,72,93,9,7,0,77.4,10.3,51.2
"A Bulow","ALL","ALL","ALL",9999,2,46,47,2,4,2,97.9,23.5,43.9
"A Carter","ALL","ALL","ALL",9999,1,0,1,1,0,0,0,1,0
"A Choudhary","ALL","ALL","ALL",9999,3,25,19,1,1,1,131.6,19,88.2
"A Conteh","ALL","ALL","ALL",9999,2,23,44,2,1,0,52.3,22,44.2
"A Dananjaya","ALL","ALL","ALL",9999,15,65,76,8,6,0,85.5,9.5,58.6
"A Djorovic","ALL","ALL","ALL",9999,2,6,10,0,0,0,60,999,60
"A Dutt","ALL","ALL","ALL",9999,1,0,3,1,0,0,0,3,0
"A Gavde","ALL","ALL","ALL",9999,1,1,6,1,0,0,16.7,6,16.7
"A Gbla","ALL","ALL","ALL",9999,9,79,71,7,4,4,111.3,10.1,61.9
"A Halbhavi","ALL","ALL","ALL",9999,2,25,32,2,4,0,78.1,16,32.1
"A Hepburn","ALL","ALL","ALL",9999,3,25,28,2,3,0,89.3,14,52
"A Javid","ALL","ALL","ALL",9999,13,142,139,8,10,1,102.2,17.4,75
"A Johnmary","ALL","ALL","ALL",9999,2,7,13,2,0,0,53.8,6.5,53.8
"A Kansonkho","ALL","ALL","ALL",9999,3,22,19,2,2,1,115.8,9.5,50
"A Khan","ALL","ALL","ALL",9999,4,33,38,4,1,1,86.8,9.5,63.9
"A Kheterpal","ALL","ALL","ALL",9999,4,52,45,3,7,1,115.6,15,48.6
"A Koul","ALL","ALL","ALL",9999,2,10,18,2,2,0,55.6,9,12.5
"A Krishna","ALL","ALL","ALL",9999,6,13,13,5,1,1,100,2.6,27.3
"A Langham","ALL","ALL","ALL",9999,1,18,23,1,1,1,78.3,23,38.1
"A Lyth","ALL","ALL","ALL",9999,71,2226,1425,70,239,93,156.2,20.4,65.1
"A Makesh","ALL","ALL","ALL",9999,4,46,71,4,3,0,64.8,17.8,50
"A Manepalli","ALL","ALL","ALL",9999,2,24,23,1,1,1,104.3,23,66.7
"A Manousis","ALL","ALL","ALL",9999,3,28,21,2,4,1,133.3,10.5,37.5
"A Mansale","ALL","ALL","ALL",9999,14,141,140,14,12,3,100.7,10,60
"A McAuley","ALL","ALL","ALL",9999,9,198,227,8,15,1,87.2,28.4,62.6
"A Mehmood","ALL","ALL","ALL",9999,1,0,1,0,0,0,0,999,0
"A Mishra","ALL","ALL","ALL",9999,14,76,93,6,4,2,81.7,15.5,55.2
"A Morris","ALL","ALL","ALL",9999,4,5,17,2,0,0,29.4,8.5,29.4
"A Mutreja","ALL","ALL","ALL",9999,4,30,29,3,3,0,103.4,9.7,69.2
"A Nanda","ALL","ALL","ALL",9999,1,15,14,0,0,1,107.1,999,69.2
"A Nao","ALL","ALL","ALL",9999,1,7,4,0,1,0,175,999,100
"A Ndlovu","ALL","ALL","ALL",9999,1,2,4,1,0,0,50,4,50
"A Nehra","ALL","ALL","ALL",9999,3,7,24,2,0,0,29.2,12,29.2
"A Nicholas","ALL","ALL","ALL",9999,4,42,90,3,4,0,46.7,30,30.2
"A Nortje","ALL","ALL","ALL",9999,8,15,27,4,0,0,55.6,6.8,55.6
"A Orfila","ALL","ALL","ALL",9999,3,8,17,2,0,0,47.1,8.5,47.1
"A Otwani","ALL","ALL","ALL",9999,10,134,137,10,17,1,97.8,13.7,50.4
"A Phillip","ALL","ALL","ALL",9999,4,5,13,1,0,0,38.5,13,38.5
"A Poulose","ALL","ALL","ALL",9999,3,9,14,3,2,0,64.3,4.7,8.3
"A Pusthay","ALL","ALL","ALL",9999,7,113,125,7,10,0,90.4,17.9,63.5
"A Randhawa","ALL","ALL","ALL",9999,1,42,28,1,3,2,150,28,78.3
"A Rangaswamy","ALL","ALL","ALL",9999,7,39,32,4,2,2,121.9,8,67.9
"A Raza","ALL","ALL","ALL",9999,2,21,20,2,1,1,105,10,61.1
"A Reyes","ALL","ALL","ALL",9999,1,0,1,1,0,0,0,1,0
"A Sarma","ALL","ALL","ALL",9999,7,154,149,7,10,2,103.4,21.3,74.5
"A Shahzad","ALL","ALL","ALL",9999,1,0,1,1,0,0,0,1,0
"A Sharafu","ALL","ALL","ALL",9999,3,26,28,3,0,2,92.9,9.3,53.8
"A Shreshta","ALL","ALL","ALL",9999,5,78,73,5,6,3,106.8,14.6,56.2
"A Ueda","ALL","ALL","ALL",9999,5,42,37,4,2,0,113.5,9.2,97.1
"A Vala","ALL","ALL","ALL",9999,24,705,513,22,60,28,137.4,23.3,69.9
"A van den Berg","ALL","ALL","ALL",9999,1,1,3,0,0,0,33.3,999,33.3
"A Venkatesh","ALL","ALL","ALL",9999,8,165,132,8,18,1,125,16.5,77
"A Yon","ALL","ALL","ALL",9999,3,87,78,3,9,1,111.5,26,66.2
"A Zampa","ALL","ALL","ALL",9999,41,186,202,26,15,2,92.1,7.8,61.6
"AA Jangoo","ALL","ALL","ALL",9999,2,25,31,2,2,0,80.6,15.5,58.6
"AA Obanda","ALL","ALL","ALL",9999,17,387,238,16,39,24,162.6,14.9,49.7
"AA Onikoyi","ALL","ALL","ALL",9999,9,137,168,9,9,5,81.5,18.7,46.1
"AAA Patel","ALL","ALL","ALL",9999,11,129,154,11,8,6,83.8,14,43.6
"Aaftab Alam Khan","ALL","ALL","ALL",9999,3,11,13,3,0,1,84.6,4.3,41.7
"AAhan Achar","ALL","ALL","ALL",9999,2,2,2,0,0,0,100,999,100
"Aamer Ikram","ALL","ALL","ALL",9999,3,53,67,3,3,4,79.1,22.3,28.3
"Aamer Yamin","ALL","ALL","ALL",9999,10,82,67,8,6,5,122.4,8.4,50
"Aamir Kaleem","ALL","ALL","ALL",9999,17,208,209,15,14,7,99.5,13.9,58.5
"AAP Atkinson","ALL","ALL","ALL",9999,8,41,36,4,2,2,113.9,9,65.6
"Aaqib Sulehri","ALL","ALL","ALL",9999,1,4,3,1,1,0,133.3,3,0
"Aarif Sheikh","ALL","ALL","ALL",9999,13,225,219,11,20,4,102.7,19.9,62.1
"Aaron Jones","ALL","ALL","ALL",9999,9,135,119,5,5,6,113.4,23.8,73.1
"Aasif Sheikh","ALL","ALL","ALL",9999,5,154,111,4,12,10,138.7,27.8,51.7
"AB de Villiers","ALL","ALL","ALL",9999,117,3986,2528,92,298,212,157.7,27.5,75.4
"AB Dinda","ALL","ALL","ALL",9999,1,7,7,1,1,0,100,7,50
"AB Fudadin","ALL","ALL","ALL",9999,5,76,67,3,5,4,113.4,22.3,55.2
"AB Kamara","ALL","ALL","ALL",9999,10,80,92,7,3,2,87,13.1,64.4
"AB McDonald","ALL","ALL","ALL",9999,1,7,6,1,1,0,116.7,6,60
"Abbas Afridi","ALL","ALL","ALL",9999,1,27,18,0,1,3,150,999,35.7
"Abdalah Lubega","ALL","ALL","ALL",9999,1,14,21,1,1,0,66.7,21,50
"Abdul-Shakoor Rahimzei","ALL","ALL","ALL",9999,17,209,207,16,19,4,101,12.9,59.2
"Abdul Hashim","ALL","ALL","ALL",9999,4,37,46,3,2,0,80.4,15.3,65.9
"Abdul Majid","ALL","ALL","ALL",9999,1,1,1,0,0,0,100,999,100
"Abdul Manan","ALL","ALL","ALL",9999,2,18,17,1,1,0,105.9,17,87.5
"Abdul Nasir","ALL","ALL","ALL",9999,2,1,4,1,0,0,25,4,25
"Abdul Rashid Karim","ALL","ALL","ALL",9999,2,19,25,2,0,1,76,12.5,54.2
"Abdul Sadiq","ALL","ALL","ALL",9999,3,17,19,0,1,0,89.5,999,72.2
"Abdul Samad","ALL","ALL","ALL",9999,17,224,154,15,12,14,145.5,10.3,71.9
"Abdul Shakoor","ALL","ALL","ALL",9999,1,7,6,0,1,0,116.7,999,60
"Abdul Shakoor (2)","ALL","ALL","ALL",9999,4,64,57,2,6,1,112.3,28.5,68
"Abdul Waheed","ALL","ALL","ALL",9999,11,179,199,9,10,5,89.9,22.1,59.2
"Abdul Wahid","ALL","ALL","ALL",9999,2,15,15,1,2,0,100,15,53.8
"Abdullah Jasat","ALL","ALL","ALL",9999,3,2,6,1,0,0,33.3,6,33.3
"Abdullah Shafique","ALL","ALL","ALL",9999,3,41,37,2,4,1,110.8,18.5,59.4
"Abdullah Shahid","ALL","ALL","ALL",9999,4,33,37,4,4,1,89.2,9.2,34.4
"Abdullah Sheikh","ALL","ALL","ALL",9999,4,14,20,3,1,0,70,6.7,52.6
"Abhijeet Ahuja","ALL","ALL","ALL",9999,4,96,95,3,11,2,101.1,31.7,48.8
"Abhishek Sharma","ALL","ALL","ALL",9999,20,241,173,14,17,12,139.3,12.4,70.1
"Abid Mushtaq","ALL","ALL","ALL",9999,2,17,29,2,1,0,58.6,14.5,46.4
"Abraash Khan","ALL","ALL","ALL",9999,6,97,85,5,12,1,114.1,17,59.7
"Absar Khan","ALL","ALL","ALL",9999,2,7,10,1,0,0,70,10,70
"Abu Hider","ALL","ALL","ALL",9999,4,58,43,1,5,4,134.9,43,41.2
"Abu Jayed","ALL","ALL","ALL",9999,1,2,3,1,0,0,66.7,3,66.7
"Abubacarr Kuyateh","ALL","ALL","ALL",9999,2,16,27,2,0,0,59.3,13.5,59.3
"AC Agar","ALL","ALL","ALL",9999,63,803,690,46,46,32,116.4,15,69.8
"AC Blizzard","ALL","ALL","ALL",9999,9,100,95,8,10,3,105.3,11.9,51.2
"AC Douglas","ALL","ALL","ALL",9999,9,117,115,8,11,5,101.7,14.4,43.4
"AC Evans","ALL","ALL","ALL",9999,6,4,9,5,0,0,44.4,1.8,44.4
"AC Lenham","ALL","ALL","ALL",9999,3,7,20,1,0,0,35,20,35
"AC Voges","ALL","ALL","ALL",9999,23,449,350,17,38,6,128.3,20.6,85.3
"ACF Stokes","ALL","ALL","ALL",9999,4,3,13,3,0,0,23.1,4.3,23.1
"AD Algar","ALL","ALL","ALL",9999,3,28,48,2,0,0,58.3,24,58.3
"AD Conwana","ALL","ALL","ALL",9999,1,0,1,1,0,0,0,1,0
"AD Hales","ALL","ALL","ALL",9999,152,4333,2844,139,498,183,152.4,20.5,57.5
"AD Kamania","ALL","ALL","ALL",9999,2,32,24,1,1,2,133.3,24,76.2
"AD Mathews","ALL","ALL","ALL",9999,22,441,389,18,28,17,113.4,21.6,66
"AD Nath","ALL","ALL","ALL",9999,10,90,98,10,7,2,91.8,9.8,56.2
"AD Poynter","ALL","ALL","ALL",9999,3,17,17,1,0,1,100,17,68.8
"AD Russell","ALL","ALL","ALL",9999,152,3206,1867,123,203,285,171.7,15.2,49.6
"AD Thomason","ALL","ALL","ALL",9999,25,324,255,18,16,14,127.1,14.2,78.2
"Adil Amin","ALL","ALL","ALL",9999,1,7,6,0,1,0,116.7,999,60
"Adil Butt","ALL","ALL","ALL",9999,1,6,4,0,0,0,150,999,150
"ADL Stokoe","ALL","ALL","ALL",9999,1,4,9,1,0,0,44.4,9,44.4
"Adnan Idrees","ALL","ALL","ALL",9999,5,153,86,5,24,5,177.9,17.2,47.4
"Adnan Ilyas","ALL","ALL","ALL",9999,5,95,66,5,6,5,143.9,13.2,74.5
"Adnan Mufti","ALL","ALL","ALL",9999,4,18,22,2,0,0,81.8,11,81.8
"ADS Fletcher","ALL","ALL","ALL",9999,110,2312,1943,96,194,113,119,20.2,52.4
"AE Paraam","ALL","ALL","ALL",9999,2,19,10,1,2,1,190,10,71.4
"AF Ifill","ALL","ALL","ALL",9999,6,37,60,5,2,1,61.7,12,40.4
"AF Milne","ALL","ALL","ALL",9999,26,143,115,14,9,5,124.3,8.2,76.2
"Afaq Ahmed","ALL","ALL","ALL",9999,5,61,67,2,3,2,91,33.5,59.7
"Afif Hossain","ALL","ALL","ALL",9999,31,428,353,27,35,14,121.2,13.1,67.1
"Aftab Alam","ALL","ALL","ALL",9999,3,1,5,2,0,0,20,2.5,20
"Aftab Hussain","ALL","ALL","ALL",9999,2,6,4,0,1,0,150,999,66.7
"Aftab Kayani","ALL","ALL","ALL",9999,3,32,32,3,3,0,100,10.7,69
"Afzal Saleem","ALL","ALL","ALL",9999,2,86,77,1,5,2,111.7,77,77.1
"Afzal Virk","ALL","ALL","ALL",9999,2,4,11,2,0,0,36.4,5.5,36.4
"AG Cremer","ALL","ALL","ALL",9999,5,22,36,5,0,0,61.1,7.2,61.1
"AG Salter","ALL","ALL","ALL",9999,34,282,243,20,17,11,116,12.2,68.8
"AG Wakely","ALL","ALL","ALL",9999,53,1115,932,42,79,32,119.6,22.2,73.9
"AG Weligamage","ALL","ALL","ALL",9999,3,29,25,2,0,3,116,12.5,50
"Agha Salman","ALL","ALL","ALL",9999,14,219,221,14,19,5,99.1,15.8,57.4
"Ahmad Mushtaq","ALL","ALL","ALL",9999,4,29,39,2,1,1,74.4,19.5,51.4
"Ahmad Ramdoni","ALL","ALL","ALL",9999,4,55,76,3,4,0,72.4,25.3,54.2
"Ahmadullah Shinwari","ALL","ALL","ALL",9999,1,0,1,1,0,0,0,1,0
"Ahmed Daniyal","ALL","ALL","ALL",9999,4,10,20,2,1,0,50,10,31.6
"Ahmed Faiz Mohammad Noor","ALL","ALL","ALL",9999,22,554,454,20,49,18,122,22.7,64.6
"Ahmed Hassan","ALL","ALL","ALL",9999,9,126,176,9,9,2,71.6,19.6,47.3
"Ahmed Raza","ALL","ALL","ALL",9999,15,114,134,8,2,5,85.1,16.8,59.8
"Ahmed Safi Abdullah","ALL","ALL","ALL",9999,2,9,13,0,1,0,69.2,999,41.7
"Ahmed Shehzad","ALL","ALL","ALL",9999,68,1675,1430,66,171,43,117.1,21.7,60.3
"Ahmed Wardak","ALL","ALL","ALL",9999,2,7,6,1,1,0,116.7,6,60
"Ahsan Abbasi","ALL","ALL","ALL",9999,5,63,70,5,7,0,90,14,55.6
"Ahsan Ali","ALL","ALL","ALL",9999,12,231,195,12,21,7,118.5,16.2,62.9
"Ahsan Khan","ALL","ALL","ALL",9999,1,1,1,1,0,0,100,1,100
"Ahsan Malik","ALL","ALL","ALL",9999,2,15,13,1,0,1,115.4,13,75
"AHT Donald","ALL","ALL","ALL",9999,47,890,644,44,101,25,138.2,14.6,64.9
"AI Ross","ALL","ALL","ALL",9999,50,1121,910,38,77,36,123.2,23.9,74.9
"Ainool Hafizs","ALL","ALL","ALL",9999,4,52,52,4,4,1,100,13,63.8
"Ainool Haqqiem","ALL","ALL","ALL",9999,2,20,20,1,1,0,100,20,84.2
"Aizaz Khan","ALL","ALL","ALL",9999,24,262,247,21,19,3,106.1,11.8,74.7
"AJ Ayannaike","ALL","ALL","ALL",9999,12,85,109,12,5,3,78,9.1,46.5
"AJ Blake","ALL","ALL","ALL",9999,60,922,703,48,62,40,131.2,14.6,72.2
"AJ Doolan","ALL","ALL","ALL",9999,13,260,230,11,28,4,113,20.9,62.6
"AJ Finch","ALL","ALL","ALL",9999,193,5999,4095,173,563,262,146.5,23.7,66.5
"AJ Hickey","ALL","ALL","ALL",9999,3,25,25,3,4,0,100,8.3,42.9
"AJ Hodd","ALL","ALL","ALL",9999,4,5,11,3,0,0,45.5,3.7,45.5
